#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
0	0	0	0	5	1	6	4	
0	0	0	0	6	3	4	14	
0	0	0	0	9	6	10	22	
0	0	0	0	14	12	9	22	
0	0	1	2	9	9	11	21	
0	0	1	0	28	18	23	39	
0	0	0	1	53	52	43	41	
0	0	0	0	24	29	35	23	
0	0	0	0	14	9	9	14	
0	0	0	0	7	11	6	5	
0	0	0	0	6	12	11	6	
0	1	0	0	8	10	13	13	
0	0	1	0	17	19	25	29	
0	0	0	0	45	46	50	63	
0	0	0	0	102	94	124	155	
0	0	1	0	274	216	300	340	
0	0	0	0	554	445	576	712	
0	0	0	0	1179	975	1249	1486	
0	0	0	0	2835	2395	3082	3460	
0	0	0	0	7383	6179	7684	8141	
0	0	0	0	13495	11036	14277	14785	
0	0	0	0	7889	6560	8184	8903	
0	0	0	0	3183	2761	3350	3850	
0	0	0	0	1246	1023	1351	1626	
0	0	0	0	545	488	650	775	
0	0	0	0	261	261	314	382	
0	0	0	0	131	123	137	168	
0	0	0	0	43	49	55	74	
0	0	0	0	24	24	29	38	
0	0	0	0	13	12	15	18	
0	0	0	0	9	8	6	13	
0	0	0	0	1	11	8	9	
0	0	0	0	11	9	14	10	
0	0	0	1	20	19	17	27	
0	0	0	1	50	44	54	43	
0	0	0	0	23	23	25	32	
0	0	0	0	7	16	13	15	
0	0	1	0	8	10	11	16	
0	0	0	0	8	4	5	15	
0	0	0	0	9	5	13	13	
0	0	0	0	2	1	10	8	
0	0	0	0	1	1	2	2	
0	0	0	0	2	0	3	2	
0	0	0	0	0	0	3	2	
0	0	0	0	0	1	0	0	
0	0	1	0	0	0	0	0	
0	0	0	0	3	0	0	0	
0	0	0	0	2	3	2	1	
0	0	0	1	1	2	3	2	
0	0	0	0	10	5	2	9	
0	0	0	0	1	1	0	1	
0	0	0	0	2	1	2	1	
0	0	0	0	0	1	2	2	
0	0	0	1	3	1	0	4	
0	0	1	0	2	0	0	3	
0	0	0	0	2	0	1	2	
0	0	0	1	1	0	2	0	
0	0	0	0	1	2	2	1	
0	0	0	0	2	0	0	4	
0	0	0	0	0	0	0	3	
0	0	0	0	2	1	0	1	
0	0	0	1	0	0	0	1	
0	0	1	0	1	0	0	1	
0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	
0	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	
0	0	1	0	0	0	1	1	
0	0	0	0	0	0	0	0	
0	0	0	1	0	0	0	0	
0	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	2	
0	0	0	0	0	0	1	1	
0	0	0	0	0	0	1	2	
0	0	0	0	0	0	1	2	
0	0	0	0	0	1	0	2	
0	0	1	0	2	0	1	2	
0	0	0	0	1	1	1	2	
0	0	0	0	2	0	2	2	
0	0	0	0	8	3	1	1	
0	0	0	2	7	4	7	4	
0	0	0	0	2	3	2	2	
0	0	1	0	0	1	1	2	
0	0	0	0	0	0	0	2	
0	0	0	0	1	2	0	1	
0	0	0	0	3	0	0	0	
0	0	0	0	2	2	1	1	
0	0	0	0	2	0	0	2	
0	0	0	0	2	0	2	4	
0	0	0	1	4	1	5	6	
0	0	0	1	10	3	8	12	
0	0	0	0	10	4	7	25	
0	0	1	0	12	7	14	22	
0	0	0	0	11	10	14	15	
0	0	0	0	20	9	22	17	
0	0	0	0	49	40	43	41	
0	0	0	0	36	33	36	31	
0	0	0	0	21	21	10	14	
1	0	0	0	8	4	14	8	
0	1	0	0	7	8	2	14	
0	0	0	0	12	12	14	11	
0	0	0	0	13	12	18	30	
1	0	0	0	45	22	51	51	
1	0	0	0	76	65	96	124	
0	0	0	0	203	196	242	290	
0	0	0	0	420	396	483	573	
0	1	1	0	927	790	960	1169	
0	0	0	0	2146	1889	2265	2732	
0	0	0	0	5682	4816	5889	6269	
0	0	0	0	12637	10454	13447	13700	
0	0	0	1	10792	8793	11333	11697	
0	0	1	0	4487	3693	4545	5115	
0	0	0	0	1727	1392	1825	2256	
0	0	0	0	744	618	805	1036	
0	0	0	0	370	327	414	519	
0	0	0	0	181	157	181	226	
0	0	0	0	63	62	63	109	
0	1	0	0	25	25	36	40	
0	0	0	0	9	12	23	22	
0	2	0	0	15	7	8	7	
0	1	0	0	2	2	4	4	
0	8	0	0	4	6	9	9	
